column_ref,code,description,notes
"offence.offence_code / reported_offence.offence_code","23202","Disobeys any lawful order","name=YOI_55_26C; nomisCode=55:26C; paragraph=25; withOthersNomisCode=55:29Z; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","9001","Is found with any substance in his urine which demonstrates that a controlled drug, pharmacy medication, prescription only medicine, psychoactive substance or specified substance has, whether in prison or while on temporary release under rule 5, been administered to him by himself or by another person (but subject to Rule 56)","name=YOI_55_10; nomisCode=55:10; paragraph=10; withOthersNomisCode=55:29U; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","9002","Is found with any substance in his urine which demonstrates that a controlled drug, pharmacy medication, prescription only medicine, psychoactive substance or specified substance has, whether in prison or while on temporary release under rule 5, been administered to him by himself or by another person (but subject to Rule 56)","name=YOI_55_10; nomisCode=55:10; paragraph=10; withOthersNomisCode=55:29U; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","12101","Has in his possession:<br><br>(a) any unauthorised article, or<br><br>(b) a greater quantity of any article than he is authorised to have","name=YOI_55_13C; nomisCode=55:13C; paragraph=13; withOthersNomisCode=55:29X; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","12102","Has in his possession:<br><br>(a) any unauthorised article, or<br><br>(b) a greater quantity of any article than he is authorised to have","name=YOI_55_13B; nomisCode=55:13B; paragraph=13; withOthersNomisCode=55:29X; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","10001","Is intoxicated as a consequence of knowingly consuming any alcoholic beverage","name=YOI_55_11; nomisCode=55:11; paragraph=11; withOthersNomisCode=55:11; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","11001","Knowingly consumes any alcoholic beverage, other than any provided to him pursuant to a written order of the medical officer under rule 21(1)","name=YOI_55_12; nomisCode=55:12; paragraph=12; withOthersNomisCode=55:12; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","16001","Intentionally or recklessly sets fire to any part of a young offender institution or any other property, whether or not his own","name=YOI_55_17; nomisCode=55:17; paragraph=17; withOthersNomisCode=55:29C; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","24101","Displays, attaches or draws on any part of a young offender institution, or on any other property, threatening, abusive, or insulting racist words, drawings, symbols or other material","name=YOI_55_28; nomisCode=55:28; paragraph=28; withOthersNomisCode=55:29I; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","2410124","Displays, attaches or draws on any part of a young offender institution, or on any other property, threatening, abusive or insulting words, drawings, symbols or other material, which demonstrate, or are motivated (wholly or partly) by, hostility to persons based on them sharing a protected characteristic","name=YOI_55_28_24; nomisCode=55:28 (24); paragraph=28; withOthersNomisCode=55:28 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","17001","Causes racially aggravated damage to, or destruction of, any part of a young offender institution or any other property, other than his own","name=YOI_55_19; nomisCode=55:19; paragraph=19; withOthersNomisCode=55:19; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","1700124","Causes damage to, or destruction of, any part of a young offender institution or any other property, other than his own, aggravated by a protected characteristic","name=YOI_55_19_24; nomisCode=55:19 (24); paragraph=19; withOthersNomisCode=55:19 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","17002","Destroys or damages any part of a young offender institution or any other property other than his own","name=YOI_55_18; nomisCode=55:18; paragraph=18; withOthersNomisCode=55:18; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","19001"," Is disrespectful to any officer, or any person (other than an inmate) who is at the young offender institution for the purpose of working there, or any person visiting a young offender institution","name=YOI_55_21B; nomisCode=55:21B; paragraph=21; withOthersNomisCode=55:29AE; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","19002"," Is disrespectful to any officer, or any person (other than an inmate) who is at the young offender institution for the purpose of working there, or any person visiting a young offender institution","name=YOI_55_21C; nomisCode=55:21C; paragraph=21; withOthersNomisCode=55:29AF; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","19003"," Is disrespectful to any officer, or any person (other than an inmate) who is at the young offender institution for the purpose of working there, or any person visiting a young offender institution","name=YOI_55_21A; nomisCode=55:21A; paragraph=21; withOthersNomisCode=55:29AD; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","20001","Uses threatening, abusive or insulting racist words or behaviour","name=YOI_55_23; nomisCode=55:23; paragraph=23; withOthersNomisCode=55:23; applicableVersions=1"
"offence.offence_code / reported_offence.offence_code","2000124","Uses threatening, abusive or insulting words or behaviour, which demonstrate, or are motivated (wholly or partly) by, hostility to persons based on them sharing a protected characteristic","name=YOI_55_23_24; nomisCode=55:23 (24); paragraph=23; withOthersNomisCode=55:23 (24); applicableVersions=2"
"offence.offence_code / reported_offence.offence_code","20002","Uses threatening, abusive or insulting words or behaviour","name=YOI_55_22; nomisCode=55:22; paragraph=22; withOthersNomisCode=55:29AC; applicableVersions=1|2"
"offence.offence_code / reported_offence.offence_code","22001","Disobeys any lawful order","name=YOI_55_25; nomisCode=55:25; paragraph=25; withOthersNomisCode=55:29W; applicableVersions=1|2"
